split,faultNumber,model,n_trajectories,mean_metric,median_metric,std_metric,minimum,maximum
validation,11,decision_tree,100,0.6998443409708598,0.7045454545454546,0.07323022453336571,0.5510204081632653,0.8604651162790697
validation,11,extra_trees,100,0.7232299869646597,0.7307692307692307,0.07147042803311474,0.4782608695652174,0.8837209302325582
validation,11,hist_gradient_boosting,100,0.7879368357540075,0.7984375,0.06273781487637554,0.6326530612244898,0.9137931034482759
validation,11,linear_svm,100,0.04310148723176067,0.04,0.029699962977216575,0.0,0.13793103448275862
validation,11,logistic_regression,100,0.10740866103389474,0.09803921568627451,0.04720626154525859,0.020833333333333332,0.22727272727272727
validation,11,random_forest,100,0.7513766870886406,0.7544076708939066,0.065586928299768,0.5652173913043478,0.8888888888888888
validation,12,decision_tree,100,0.7321549032817576,0.7444334487877289,0.08214446809113618,0.2545454545454545,0.88
validation,12,extra_trees,100,0.8606562244976594,0.8897569444444444,0.12133231301061563,0.2727272727272727,0.9830508474576272
validation,12,hist_gradient_boosting,100,0.867969719722394,0.8829856584093871,0.0828072644779972,0.32727272727272727,1.0
validation,12,linear_svm,100,0.09302166434588659,0.09090909090909091,0.040668042208373265,0.0,0.19148936170212766
validation,12,logistic_regression,100,0.2737641473950385,0.27097902097902093,0.10602024765208223,0.09259259259259259,0.5714285714285714
validation,12,random_forest,100,0.8770766729372577,0.8968962585034014,0.09388755391293263,0.2909090909090909,1.0
validation,13,decision_tree,100,0.7584073043305952,0.7646153846153847,0.08792540059191109,0.4473684210526316,0.9347826086956522
validation,13,extra_trees,100,0.8262523419420391,0.8319209039548023,0.08304347787335428,0.5,0.975
validation,13,hist_gradient_boosting,100,0.8202052872291419,0.8222222222222222,0.07965767143869432,0.5,0.975
validation,13,linear_svm,100,0.4552209990725271,0.4390889830508474,0.19309694467238261,0.018867924528301886,0.8536585365853658
validation,13,logistic_regression,100,0.4934412951017185,0.4965753424657534,0.134535116689131,0.15384615384615385,0.8518518518518519
validation,13,random_forest,100,0.825686211137744,0.8346994535519126,0.08218294777256188,0.5,0.975
validation,14,decision_tree,100,0.9391195916047017,0.9366008698561392,0.030749784053611312,0.8421052631578947,1.0
validation,14,extra_trees,100,0.9238847561454709,0.9245283018867925,0.03457707585483527,0.8421052631578947,1.0
validation,14,hist_gradient_boosting,100,0.9378879918015406,0.9387755102040817,0.03257511363787399,0.8421052631578947,1.0
validation,14,linear_svm,100,0.22019384058604277,0.21818181818181817,0.05594887335977135,0.11320754716981132,0.4
validation,14,logistic_regression,100,0.02373842706553144,0.019803921568627453,0.021444945127653988,0.0,0.08163265306122448
validation,14,random_forest,100,0.9351039188033553,0.9338797814207651,0.0312016192514014,0.859375,1.0
validation,15,decision_tree,100,0.1596426908826497,0.16552511415525112,0.05308868114031138,0.05263157894736842,0.3333333333333333
validation,15,extra_trees,100,0.19022145795877637,0.18561584840654607,0.05533131911126485,0.041666666666666664,0.32608695652173914
validation,15,hist_gradient_boosting,100,0.20195036070871653,0.20408163265306123,0.06007762999817388,0.0625,0.3877551020408163
validation,15,linear_svm,100,0.07905772306688093,0.07767722473604827,0.04333234087337352,0.0,0.18
validation,15,logistic_regression,100,0.07002965535069497,0.06316489361702127,0.04105414132387179,0.0,0.19642857142857142
validation,15,random_forest,100,0.1869643648366849,0.18,0.06077134232920405,0.03636363636363636,0.3684210526315789
validation,16,decision_tree,100,0.6781766628357653,0.675939572586588,0.07368627449649029,0.5,0.8478260869565217
validation,16,extra_trees,100,0.7031368880971651,0.7022727272727273,0.0776516349636271,0.5,0.8695652173913043
validation,16,hist_gradient_boosting,100,0.7840349467197376,0.787847790507365,0.060469414573651736,0.6551724137931034,0.926829268292683
validation,16,linear_svm,100,0.14857335410225464,0.14017543859649123,0.053117134825848906,0.05084745762711865,0.3023255813953488
validation,16,logistic_regression,100,0.08529146687340983,0.08658170914542729,0.04712350892188747,0.0,0.2826086956521739
validation,16,random_forest,100,0.7493580127787837,0.7456086286594761,0.06975877987568804,0.5681818181818182,0.9107142857142857
validation,17,decision_tree,100,0.8202439023551276,0.8260869565217391,0.06553929259985493,0.6,0.9285714285714286
validation,17,extra_trees,100,0.8642355681751728,0.8672955974842768,0.05930090322312489,0.7021276595744681,0.975
validation,17,hist_gradient_boosting,100,0.863955420878818,0.8696114146933819,0.05993861281740107,0.7021276595744681,0.9787234042553191
validation,17,linear_svm,100,0.6479269850203295,0.6526175687666371,0.0732640747800092,0.4909090909090909,0.7954545454545454
validation,17,logistic_regression,100,0.7712262475823977,0.7722091194968554,0.07373628904206651,0.5531914893617021,0.9069767441860465
validation,17,random_forest,100,0.8558650655297998,0.8585714285714285,0.062121560517130844,0.6808510638297872,0.975
validation,18,decision_tree,100,0.7662760100507805,0.7883832778394377,0.10959956556846824,0.2602739726027397,0.94
validation,18,extra_trees,100,0.7930429634513944,0.8105053191489362,0.09098575261624291,0.5636363636363636,0.9452054794520548
validation,18,hist_gradient_boosting,100,0.8160857977839033,0.8252262443438914,0.08113992273147928,0.4186046511627907,0.96
validation,18,linear_svm,100,0.8001677324672233,0.8,0.07407181195052238,0.6181818181818182,0.96
validation,18,logistic_regression,100,0.810423378763829,0.8181818181818182,0.07567653716608012,0.6363636363636364,0.96
validation,18,random_forest,100,0.8079023610845962,0.8181818181818182,0.07658702353816553,0.5849056603773585,0.9452054794520548
